JournalVolumePage,Author,StudyType,Year,MIGsYorN,WashOut,Washoutbaseline,BaselinewashoutSD,WashoutIOPperiod,WashoutIOP,WashoutSD,TypesofMIGSifany,AgeMean,AgeStdDev,Male,Female,OAG,ACG,NTG,PXG,acuteangleclosure,NoteonTypeofGlaucoma,PreOpEyes,PreOpIOPMean,PreOpIOPStdDev,MoEyes,MoIOPMean,MoIOPStdDev,MoAbsIOPChangeMean,MoAbsIOPChangeStdDev,AE,AF,AG,AH,AI,LastPeriodofEyes,TimeofLastPostOp,LastPeriodIOPMean,LastPeriodIOPStdDev,LastPeriodAbsIOPChangeMean,LastPeriodAbsIOPChangeStd,RxPreOpMean,RxPreOpStdDev,RxPostOpMean,RxPostOpStdDev,RxChangeMean,RxChangeStdDev,VisualAcuityPreOpMean,VisualAcuityPreOpStdDev,VisualAcuityPostOpMean,VisualAcuityPostOpStdDev,Notes
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,73.56,6.38,-,-,0,100,0,0,N,,25,19.54,5.24,-,-,-,-,-,-,-,-,-,-,25,14.5 +/- 4.4 mo,14.45,4.44,-5.09,4.83,1.52,.58,1.24,.66,,,-,-,-,-,-
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,73.56,6.38,-,-,0,0,0,100,N,Closed angle ALL PXG,4,22.92,3.78,-,-,-,-,-,-,-,-,-,-,4,11.3 +/- 4.5 mo,11.25,4.48,-11.67,1.57,1.5,.57,1,0,,,-,-,-,-,-
"JMAT, 91(303-308)",Pachimkul et al.,Prospective,2008,N,N,,,,,,-,68.5,7.85,32.61,67.39,0,100,0,0,N,"97% CACG, 3% ACG",58,23.3,10,58,14.8,6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,.7,-,-,,,.92,.6899999999999999,.53,.6899999999999999,-
"AAO, 116(725-731)",Tham et al.,Prospective,2009,N,N,,,,,,-,70.3,7.4,33.33,66.67,0,100,0,0,N,100% CACG,27,24.4,6.1,27,16.3,3.5,-,-,27,15.5,3.2,-,-,27,24 mo,16.1,4.1,-,-,3.3,1.1,1.7,1.3,,,.8,.7,.6,.7,-
"JCRS, 36(783-789)",Lee et al.,Retrospective,2010,N,N,,,,,,-,68.8,8.800000000000001,50,50,0,100,0,0,Y,100% Phacomorphic,26,49,10.4,-,-,-,-,-,-,-,-,-,-,26,48 mo,13.2,2.8,-,-,-,-,.1,-,,,-,-,-,-,-
"JCRS, 36(407-412)",Fea et. al,Prospective,2010,N,Y,-,-,16mo,19.2,3.5,-,64.90000000000001,3.1,-,-,100,0,0,0,N,POAG,21,17.3,3,-,-,-,-,-,-,-,-,-,-,21,15 mo,15.7,1.1,-1.6,3.2,1.9,.7,1.3,1,-,-,-,-,-,-,-
"JCRS, 36(407-412)",Fea et. al,Prospective,2010,Y,Y,-,-,16mo,16.6,3.1,iStent,64.5,3.4,-,-,100,0,0,0,N,POAG,12,17.9,2.6,-,-,-,-,-,-,-,-,-,-,12,15 mo,14.8,1.2,-3.2,3,2,.9,.4,.7,-,-,-,-,-,-,-
"AAO, 118(459-467)",Samuelson et al.,Prospective,2011,N,Y,25.5,3.7,-,-,-,-,73,9,42,58,100,0,0,0,N,"92% POAG, 6% PXG, 2% PDG",117,18,3,-,-,-,-,-,123,-,-,-1.0,3.3,123,12 mo,-,-,-1.0,3.3,1.5,.6,.4,.7,-1,.8,.36,.26,-,-,-
"JG, 20(566-570)",Liu et al.,Retrospective,2011,N,N,,,,,,-,73.40000000000001,8,46.4,53.6,0,100,0,0,N,,56,16.4,4,54,13.6,2.85,-,-,50,13.5,2.88,-,-,30,24 mo,12.6,2.28,-,-,1.8,1,1,-,,,.48,.2,-,-,-
"AAO, 118(459-467)",Samuelson et al.,Prospective,2011,Y,Y,25.2,3.5,-,-,-,iStent,-,-,-,-,100,-,-,-,N,POAG,123,18.7,3.3,-,-,-,-,-,117,-,-,-1.5,3,117,12 mo,-,-,-1.5,3,1.5,.7,.2,.6,-1.4,.8,-,-,-,-,-
"JG, 21(545-550)",Shams et al.,Retrospective,2012,N,N,,,,,,-,71,8.300000000000001,31,69,0,100,0,0,N,35% PAC,55,18.7,7.3,-,-,-,-,-,-,-,-,-,-,55,7.2 mo,14.1,4,-4.5 ,5.4,1.4,1.41,.96,1.17,-.44,.83,.51,.36,.27,.28,-
"AAO, 119(2274-2281)",Husain et al.,Prospective,2012,N,N,,,,,,-,65.90000000000001,-,16,84,0,100,0,0,Y,100% APAC,19,57.4,16.9,-,-,-,-,-,-,-,-,-,-,18,24 mo,12.9,4,-,-,-,-,-,-,,,.71,.74,.37,.51,-
"JMAT, 95(557-560)",Yudhasompop et al.,Retrospective,2012,N,N,,,,,,-,70,7.88,33.3,66.7,0,100,0,0,N,,60,17.44,3.45,60,12.93,2.49,-4.51,3.04,-,-,-,-,-,-,-,-,-,-,-,1.87,.77,1.43,1.03,,,.44,.29,.26,.21,-
"AJO, 155(858-863)",Zhang et al.,Retrospective,2013,N,N,,,,,,-,75.09999999999999,10.5,37.21,62.79,100,0,0,0,N,"16% ACG, 6.97% PXG, 1.3% Pigmentary, 1.3 % NTG",43,16.3,3.9,43,14.3,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,.76,.58,.23,.43,,,.52,.41,.24,.33,-
"AAO, 120(62-67)",Tham et al.,Prospective,2013,N,N,,,,,,-,66.40000000000001,8.1,38.46,61.54,0,100,0,0,N,100% CACG,26,24.1,4.1,26,16.13,-,-8.199999999999999,4.2,26,14.6,-,-9.6,4.9,26,24 mo,15.9,3.9,-8.4,6,3.7,.7,1.5,-,,,.2,.06,.2,.08,12% underwent secondary trabeculectomy during study period
"GACEO, 251(2195-2199)",Klamann et al.,Retrospective,2013,Y,N,,,,,,Trabecular Aspiration,-,-,-,-,100,-,-,-,N,POAG,28,22.22,6.33,-,-,-,-,-,-,-,-,-,-,28,12 mo,17.12,4.023,-,-,2.33,1.06,2.3,1.3,,,-,-,-,-,-
"GACEO, 251(2195-2199)",Klamann et al.,Retrospective,2013,Y,N,,,,,,Ab interno trabeculectomy,-,-,-,-,100,-,-,-,N,POAG,27,23.41,5.86,-,-,-,-,-,-,-,-,-,-,27,12 mo,14.11,2.317,-,-,2.29,.98,2,1,,,-,-,-,-,-
"JML, 7(11-16)",Iancu et al.,Prospective,2014,N,N,,,,,,-,71.7,8.27,38.5,61.5,100,0,0,0,N,,38,23.8,2.32,38,21,2.1,-2.1,3.7,38,21.6,2.4,-1.9,3.9,-,-,-,-,-,-,2.66,.66,2.9,.53,,,-,-,-,-,-
"JG, 23(316-320)",Arthur et al.,Retrospective,2014,N,N,,,,,,-,74.7,9.800000000000001,51.35,48.65,100,0,0,0,N,,37,16.2,4.6,36,14.1,3.3,-,-,34,13.7,3.3,-,-,17,24 mo,14.1,4,-,-,1.4,1.1,1.5,1.2,,,.5,.7,.2,.2,-
"JG, 23(316-320)",Arthur et al.,Retrospective,2014,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,32,18.2,5.1,-,-,-,-,-,-,-,-,-,-,11,24 mo,12.9,3.8,-,-,1.3,.7,.3,.5,,,-,-,-,-,-
"JG, 24(575-582)",Moghimi et al.,Prospective,2015,N,N,,,,,,-,63.2,6.9,41.3,58.7,0,100,0,0,N,,46,22.3,6.3,46,13.9,3.7,-,-,46,14,3.7,-8.3 ,6.8,-,-,-,-,-,-,1.2,1.1,.1,.3,,,.49,.28,.27,.2,-
"JCRS, 41(1470-1477)",Dada et al.,Prospective,2015,N,N,,,,,,-,57.2,4.2,45.45,54.55,0,100,0,0,N,,44,27.1,1.55,44,13.4,1.17,-,-,44,13.2,1.12,-14.29,1.83,-,-,-,-,-,-,2.02,.55,.136,.35,,,0,0,0,0,-
"BMCO, 15(88)",Hou et al.,Prospective,2015,N,N,,,,,,-,62.32,8.48,20,80,0,100,0,0,Y,100% APAC,25,52.6,8.15,25,14.4,3.01,-,-,25,16.64,3.08,-,-,-,-,-,-,-,-,-,-,.48,-,,,1.23,.43,.8,.39,-
"AAO, 122(1283-1293)",Pfeiffer et al.,Prospective,2015,Y,N,,,,,,-,71.5,6.9,58,42,100,0,0,0,N,"82% POAG, 16% PXG, 2% Pigmentary",50,18.6,3.8,-,-,-,-,-,44,17.4,3.7,-,-,43,24 mo,19.2,4.7,-,-,2,1.1,1,1,,,-,-,-,-,-
"JG, 24(647-655)",Shao et al.,Prospective,2015,N,N,,,,,,-,69.84999999999999,8.56,-,-,0,100,0,0,N,,20,23.45,7.99,20,16.4,5.58,-,-,-,-,-,-,-,-,-,-,-,-,-,2.95,1,.65,1.09,,,.6899999999999999,.31,.22,.24,-
"IO, 35(173-178)",Dias-Santos,Prospective,2015,N,N,,,,,,-,69.5,11.34,26.67,73.33,0,100,0,0,N,Includes PAC,15,19.93,8.300000000000001,-,-,-,-,-,-,-,-,-,-,15,31.1 +/-4.9 mo,14.53,1.51,-,-,1.67,1.18,.93,.59,,,.64,.34,.87,.21,-
"CEO, 43(531-539)",Siegel et al.,Retrospective,2015,N,N,,,,,,-,78,8.1,29.6,70.40000000000001,100,0,0,0,N,"55.6 % POAG, 18.5% NTG, 18.5% OAG, 7.4% CACG",52,17.7,4.4,-,16,3.3,-,-,-,16.2,3.4,-,-,-,36 mo,15.5,3.6,-,-,1.5,.7,1.3,.61,,,-,-,-,-,-
"JG, 24(575-582)",Moghimi et al.,Prospective,2015,Y,N,,,,,,Viscogonioplasty,-,-,-,-,100,-,-,-,N,POAG,45,23.3,7.3,-,-,-,-,-,-,-,-,-,-,45,12 mo,14.5,2.5,-,-,1.7,1.1,.4,.8,,,-,-,-,-,-
"JCRS, 41(1716-1724)",Khan et al.,Retrospective,2015,Y,N,,,,,,2 site iStent,-,-,-,-,100,-,-,-,N,POAG,49,19.6,5.2,-,-,-,-,-,-,-,-,-,-,49,12 mo,14.3,3.1,-,-,2.86,.91,1.22,1.28,,,-,-,-,-,-
"JCRS, 41(1716-1724)",Khan et al.,Retrospective,2015,Y,N,,,,,,Ab interno Trabeculotomy,-,-,-,-,100,-,-,-,N,POAG,52,20.6,6.8,-,-,-,-,-,-,-,-,-,-,52,12 mo,17.3,6.5,-,-,2.9,1.1,2.15,1.35,,,-,-,-,-,-
"CJO, 50(197-201)",Sheybani et al.,Retrospective,2015,Y,N,,,,,,Endocyclophotocoagulation,-,-,-,-,100,-,-,-,N,POAG,83,17.6,9,-,-,-,-,-,-,-,-,-,-,83,7.4 mo,14.4,3.65,-,-,2,-,1.51,-,,,-,-,-,-,-
"AAO, 122(1283-1293)",Pfeiffer et al.,Prospective,2015,N,Y,26.6,4.2,12mo,17.4,3.7,-,-,-,-,-,100,-,-,-,N,POAG,50,18.9,3.3,-,-,-,-,-,49,17.4,3.7,-,-,47,24 mo,19.2,4.7,-,-,2,1,1,1,,,-,-,-,-,24mo follow up has wash out
"JCRS, 41(1905-1909)",Sheybani et al.,Prospective,2015,Y,N,,,,,,Gelatin stent,-,-,-,-,100,-,-,-,N,POAG,37,22.4,4.2,-,-,-,-,-,-,-,-,-,-,34,12 mo,15.4,3,-,-,2.5,1.4,.9,1,,,-,-,-,-,-
"GACEO, 253(591-599)",Rekas et al.,Prospective,2015,Y,N,,,,,,Canoloplasty,-,-,-,-,100,-,-,-,N,POAG,29,19,6.9,-,-,-,-,-,-,-,-,-,-,29,12 mo,12.6,2.7,-,-,2.64,.68,.27,.67,,,-,-,-,-,-
"JG, 24(647-655)",Shao et al.,Prospective,2015,Y,N,,,,,,Goniosynechialysis,-,-,-,-,100,-,-,-,N,POAG,23,22.12,5.98,-,-,-,-,-,-,-,-,-,-,23,6 mo,13.65,2.46,-,-,2.957,1.15,0,0,,,-,-,-,-,-
"JG, 24(543-549)",Schoenberg et al.,Retrospective,2015,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,36,19.5,5.7,-,-,-,-,-,-,-,-,-,-,36,12 mo,14.4,4.4,-,-,3,-,0,-,,,-,-,-,-,-
"JG, 24(187-194)",Tetz et al.,Retrospective,2015,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,30,23.5,5.3,-,-,-,-,-,-,-,-,-,-,27,36 mo,13.6,3.6,-,-,1.5,1,.3,.5,,,-,-,-,-,-
"CEO, 43(531-539)",Siegel et al.,Retrospective,2015,Y,N,,,,,,Endocyclophotocoagulation,-,-,-,-,100,-,-,-,N,POAG,261,17.2,4.8,-,-,-,-,-,-,-,-,-,-,-,36 mo,14.7,3.1,-,-,1.3,.6,.2,.6,,,-,-,-,-,-
"AAO, 122(1283-1293)",Pfeiffer et al.,Prospective,2015,Y,Y,26.3,4.4,12mo,16.6,2.8,Hydrus Microstent,-,-,-,-,100,-,-,-,N,POAG,50,18.6,3.8,-,-,-,-,-,48,16.6,2.8,,,43,24mo,16.9,3.3,,,2,1,.5,1,,,,,,,24mo follow up has wash out
"Lancet, 388(1389-1397)",Azuara-Blanco et al.,Prospective,2016,N,Y,29.5,8.199999999999999,-,-,-,-,67,-,41,59,0,100,0,0,N,38% PAC,208,29.5,8.199999999999999,195,15.7,4.3,-,-,192,15.9,3.2,-,-,182,36 mo,16.6,3.5,-,-,1,1,.4,.8,,,-,-,-,-,-
"JG, 25(e372-e376) ",Lee et al.,Retrospective,2016,N,N,,,,,,-,70.43000000000001,6.23,22,78,0,100,-,-,N,CACG no progression,42,14.24,4.83,-,-,-,-,-,-,-,-,-,-,42,43.45 +/- 17.5 mo,12.65,2.17,-,-,1.05,.84,.6899999999999999,.68,,,-,-,-,-,-
"JG, 25(e372-e376) ",Lee et al.,Retrospective,2016,N,N,,,,,,-,70.43000000000001,6.23,22,78,0,100,-,-,N,CACG progression,14,15.07,3.89,-,-,-,-,-,-,-,-,-,-,14,50.14 +/- 17.2 mo,13.03,3.42,-,-,1.71,.9399999999999999,1.43,.54,,,-,-,-,-,-
"JG, 25(e259-e264)",Siak et al.,Prospective,2016,N,N,,,,,,-,70.59999999999999,5.5,33.3,66.7,0,100,0,0,N,,24,16.5,4.1,24,14.3,3.5,-,-,24,14.4,3.5,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-
"JG, 25(e259-e264)",Siak et al.,Prospective,2016,N,N,,,,,,-,67.59999999999999,8.1,63.3,37.7,100,0,0,0,N,,30,16.4,4,30,14.9,2,-,-,30,14.3,2.4,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-
"O, 123(2103-2112)",Vold et al.,Prospective,2016,N,Y,24.5,3,24mo,19.3,3.3,-,70,8,45,55,100,0,0,0,N,All OAG,131,24.5,3,-,-,-,-,-,-,-,-,-6.2,3.8,116,24 mo,19.3,3.3,-5.4,3.9,1.3,1,.6,.8,,,-,-,-,-,All wash out IOP's
"PLoS ONE, 11(4)e0153585",Neiweem et al.,Retrospective,2016,Y,N,24.4,2.8,,,,Ab Interno Trabeculectomy,-,-,-,-,100,-,-,-,N,POAG,352,19.9,5.9,-,-,-,-,-,-,-,-,-,-,352,12 mo,15.4,3.6,-,-,2.4,1.1,1.7,1.2,,,-,-,-,-,-
"PLoS ONE, 11(2)e0149384",Parikh et al.,Retrospective,2016,Y,N,,,,,,Trabectome,-,-,-,-,100,-,-,-,N,POAG,498,19.7,5.8,-,-,-,-,-,-,-,-,-,-,498,12 mo,15.5,3.6,-,-,2.3,1.1,1.7,1.3,,,-,-,-,-,-
"O, 123(2103-2112)",Vold et al.,Prospective,2016,Y,Y,24.4,2.8,24mo,17,3.4,Cypass,70,8,47,53,100,0,0,0,N,All OAG,374,24.4,2.8,-,-,-,-,-,-,-,-,-7.9,4.1,332,24 mo,17,3.4,-7.4,4.4,1.4,.9,.2,.6,,,-,-,-,-,All wash out IOP's
